DATE,SITE,CHAN,DIST,DOSE,SEDTP,AM.UTP,GM.UTP,BIOMASS,ABUNDANCE,NO.TAXA,PREDATORS,%ASTROPODA,NO.OLIGOCHAETA,NO.MICROCRUSTACEA,DEP.SENS,BCD
5/96,1,1,2,50,848.9,55.736,40.24557259,135.3882,95,8,1.052631579,92.63157895,2,1,0,-0.4649
5/96,1,1,4,50,648.1,38.764,28.70295273,44.9115,87,11,5.747126437,66.66666667,5,10,0,0.19535
5/96,1,1,6,50,661.2999878,18.70714286,19.51142126,57.0764,85,10,1.176470588,72.94117647,2,2,0,-1.04061
5/96,1,2,2,150,1292.400024,45.54347826,42.22447377,388.4513,551,25,5.626134301,17.96733212,17,94,1.270417423,0.65572
5/96,1,2,4,150,1242.800049,44.024,35.83768524,83.8289,347,19,3.170028818,35.15850144,2,57,1.44092219,0.45559
5/96,1,2,6,150,1058.400024,30.15714286,28.24735995,91.6233,318,16,2.51572327,41.19496855,2,105,0.314465409,0.22207
5/96,1,3,2,30,385.6000061,41.1,36.74492056,55.3404,177,14,2.824858757,25.98870056,11,81,0.564971751,0.97967
5/96,1,3,4,30,880.2999878,33.39583333,31.43745448,109.4115,150,12,4,50,0,45,0,0.15865
5/96,1,3,6,30,778.5999756,25.16428571,23.0577053,76.946,180,16,1.111111111,48.33333333,33,17,0,0.92674
5/96,1,4,2,WC,269.6000061,12.16,10.64403882,57.7292,204,13,1.960784314,58.33333333,0,0,1.960784314,-0.58889
5/96,1,4,4,WC,245.8999939,10.85416667,10.40201981,54.3587,91,14,2.197802198,58.24175824,0,4,2.197802198,-0.67918
5/96,1,4,6,WC,264.8,9.257142857,9.015992997,34.5938,96,15,8.333333333,41.66666667,0,0,2.083333333,-0.92127
5/96,1,5,2,75,1136.9,48.0375,48.86200008,42.6702,88,13,2.272727273,53.40909091,7,10,1.136363636,0.73306
5/96,1,5,4,75,1092.7,39.32,38.93914333,112.7053,152,12,2.631578947,63.81578947,3,19,0,0.37626
5/96,1,5,6,75,689.7999878,26.6,28.6169729,119.4997,166,13,2.409638554,62.65060241,0,1,0,-0.40434
5/96,1,6,2,UC,54.79999924,14.584,13.05276515,28.1351,150,14,3.333333333,54,0,1,1.333333333,-0.67217
5/96,1,6,4,UC,280.3,10.136,9.835516825,11.8941,53,7,1.886792453,86.79245283,0,0,0,-1.02668
